;+
;> DESCRIPTION = 'Filter transmission curve for R-Band'
;> WAVE_UNITS  = '[um]'
;> T_UNITS     = '[]'
;-

;~            WAVE                T
     6.5317000E-01    5.5442300E+01
     6.5362000E-01    5.5143400E+01
     6.5407000E-01    5.4932000E+01
     6.5452000E-01    5.4616000E+01
     6.5496000E-01    5.4277100E+01
     6.5541000E-01    5.3970800E+01
     6.5586000E-01    5.3742400E+01
     6.5631000E-01    5.3477900E+01
     6.5675000E-01    5.3237400E+01
     6.5720000E-01    5.3055200E+01
     6.5765000E-01    5.2865400E+01
     6.5810000E-01    5.2729600E+01
     6.5855000E-01    5.2596600E+01
     6.5899000E-01    5.2396300E+01
     6.5944000E-01    5.2117900E+01
     6.5989000E-01    5.1815700E+01
     6.6034000E-01    5.1584700E+01
     6.6078000E-01    5.1394800E+01
     6.6123000E-01    5.1186800E+01
     6.6168000E-01    5.0861600E+01
     6.6213000E-01    5.0541000E+01
     6.6257000E-01    5.0394800E+01
     6.6302000E-01    5.0330200E+01
     6.6347000E-01    5.0154000E+01
     6.6392000E-01    4.9875800E+01
     6.6436000E-01    4.9596500E+01
     6.6481000E-01    4.9427100E+01
     6.6526000E-01    4.9328500E+01
     6.6571000E-01    4.9134400E+01
     6.6615000E-01    4.8971900E+01
     6.6660000E-01    4.8826500E+01
     6.6705000E-01    4.8748300E+01
     6.6749000E-01    4.8500500E+01
     6.6794000E-01    4.8328800E+01
     6.6839000E-01    4.8150800E+01
     6.6884000E-01    4.7893600E+01
     6.6928000E-01    4.7678000E+01
     6.6973000E-01    4.7478800E+01
     6.7018000E-01    4.7249400E+01
     6.7062000E-01    4.7259400E+01
     6.7107000E-01    4.7270100E+01
     6.7152000E-01    4.7249600E+01
     6.7197000E-01    4.7182000E+01
     6.7241000E-01    4.6935300E+01
     6.7286000E-01    4.6644100E+01
     6.7331000E-01    4.6416900E+01
     6.7375000E-01    4.6189400E+01
     6.7420000E-01    4.5913400E+01
     6.7465000E-01    4.5625000E+01
     6.7509000E-01    4.5333800E+01
     6.7554000E-01    4.5006300E+01
     6.7599000E-01    4.4663100E+01
     6.7643000E-01    4.4388900E+01
     6.7688000E-01    4.4061600E+01
     6.7733000E-01    4.3673000E+01
     6.7777000E-01    4.3345100E+01
     6.7822000E-01    4.3223900E+01
     6.7867000E-01    4.3134100E+01
     6.7911000E-01    4.2944700E+01
     6.7956000E-01    4.2710800E+01
     6.8001000E-01    4.2403000E+01
     6.8045000E-01    4.2201400E+01
     6.8090000E-01    4.2062500E+01
     6.8134000E-01    4.1696000E+01
     6.8179000E-01    4.1303100E+01
     6.8224000E-01    4.0979000E+01
     6.8268000E-01    4.0717300E+01
     6.8313000E-01    4.0533200E+01
     6.8358000E-01    4.0276600E+01
     6.8402000E-01    3.9989600E+01
     6.8447000E-01    3.9855300E+01
     6.8492000E-01    3.9754500E+01
     6.8536000E-01    3.9559700E+01
     6.8581000E-01    3.9255400E+01
     6.8625000E-01    3.8972500E+01
     6.8670000E-01    3.8655600E+01
     6.8715000E-01    3.8267500E+01
     6.8759000E-01    3.7890900E+01
     6.8804000E-01    3.7637500E+01
     6.8848000E-01    3.7518200E+01
     6.8893000E-01    3.7404200E+01
     6.8938000E-01    3.7204500E+01
     6.8982000E-01    3.7043000E+01
     6.9027000E-01    3.6834500E+01
     6.9071000E-01    3.6581900E+01
     6.9116000E-01    3.6281700E+01
     6.9160000E-01    3.5931100E+01
     6.9205000E-01    3.5609500E+01
     6.9250000E-01    3.5319300E+01
     6.9294000E-01    3.5025200E+01
     6.9339000E-01    3.4803300E+01
     6.9383000E-01    3.4623500E+01
     6.9428000E-01    3.4522200E+01
     6.9472000E-01    3.4344900E+01
     6.9517000E-01    3.4078000E+01
     6.9562000E-01    3.3880500E+01
     6.9606000E-01    3.3755200E+01
     6.9651000E-01    3.3592900E+01
     6.9695000E-01    3.3321000E+01
     6.9740000E-01    3.3011400E+01
     6.9784000E-01    3.2822200E+01
     6.9829000E-01    3.2698000E+01
     6.9873000E-01    3.2519000E+01
     6.9918000E-01    3.2167300E+01
     6.9962000E-01    3.1796300E+01
     7.0007000E-01    3.1539000E+01
     7.0051000E-01    3.1279900E+01
     7.0096000E-01    3.1042500E+01
     7.0141000E-01    3.0821400E+01
     7.0185000E-01    3.0557700E+01
     7.0230000E-01    3.0432500E+01
     7.0274000E-01    3.0327800E+01
     7.0319000E-01    3.0136100E+01
     7.0363000E-01    2.9923400E+01
     7.0408000E-01    2.9697600E+01
     7.0452000E-01    2.9464000E+01
     7.0497000E-01    2.9237500E+01
     7.0541000E-01    2.8983000E+01
     7.0586000E-01    2.8754200E+01
     7.0630000E-01    2.8556800E+01
     7.0675000E-01    2.8341200E+01
     7.0719000E-01    2.8098600E+01
     7.0764000E-01    2.7870600E+01
     7.0808000E-01    2.7650200E+01
     7.0852000E-01    2.7402300E+01
     7.0897000E-01    2.7068000E+01
     7.0941000E-01    2.6835500E+01
     7.0986000E-01    2.6554600E+01
     7.1030000E-01    2.6292700E+01
     7.1075000E-01    2.5956200E+01
     7.1119000E-01    2.5745000E+01
     7.1164000E-01    2.5558200E+01
     7.1208000E-01    2.5514300E+01
     7.1253000E-01    2.5383800E+01
     7.1297000E-01    2.5280500E+01
     7.1342000E-01    2.5190000E+01
     7.1386000E-01    2.5173200E+01
     7.1430000E-01    2.4981600E+01
     7.1475000E-01    2.4812000E+01
     7.1519000E-01    2.4587300E+01
     7.1564000E-01    2.4308000E+01
     7.1608000E-01    2.4076400E+01
     7.1653000E-01    2.3843200E+01
     7.1697000E-01    2.3572500E+01
     7.1741000E-01    2.3411700E+01
     7.1786000E-01    2.3222900E+01
     7.1830000E-01    2.3021900E+01
     7.1875000E-01    2.2920500E+01
     7.1919000E-01    2.2812700E+01
     7.1964000E-01    2.2676400E+01
     7.2008000E-01    2.2536600E+01
     7.2052000E-01    2.2396400E+01
     7.2097000E-01    2.2246200E+01
     7.2141000E-01    2.2071500E+01
     7.2186000E-01    2.1847300E+01
     7.2230000E-01    2.1641700E+01
     7.2274000E-01    2.1431700E+01
     7.2319000E-01    2.1192700E+01
     7.2363000E-01    2.0898000E+01
     7.2407000E-01    2.0671700E+01
     7.2452000E-01    2.0428200E+01
     7.2496000E-01    2.0174700E+01
     7.2541000E-01    1.9890200E+01
     7.2585000E-01    1.9617000E+01
     7.2629000E-01    1.9427000E+01
     7.2674000E-01    1.9278900E+01
     7.2718000E-01    1.9105500E+01
     7.2762000E-01    1.9015800E+01
     7.2807000E-01    1.8912700E+01
     7.2851000E-01    1.8809100E+01
     7.2896000E-01    1.8748200E+01
     7.2940000E-01    1.8661100E+01
     7.2984000E-01    1.8535200E+01
     7.3029000E-01    1.8397900E+01
     7.3073000E-01    1.8255300E+01
     7.3117000E-01    1.8150800E+01
     7.3162000E-01    1.8028000E+01
     7.3206000E-01    1.7837100E+01
     7.3250000E-01    1.7599800E+01
     7.3295000E-01    1.7375200E+01
     7.3339000E-01    1.7143000E+01
     7.3383000E-01    1.6914300E+01
     7.3428000E-01    1.6718500E+01
     7.3472000E-01    1.6555700E+01
     7.3516000E-01    1.6432100E+01
     7.3561000E-01    1.6382700E+01
     7.3605000E-01    1.6350900E+01
     7.3649000E-01    1.6329600E+01
     7.3693000E-01    1.6288800E+01
     7.3738000E-01    1.6193500E+01
     7.3782000E-01    1.6053400E+01
     7.3826000E-01    1.5883100E+01
     7.3871000E-01    1.5710100E+01
     7.3915000E-01    1.5608000E+01
     7.3959000E-01    1.5488400E+01
     7.4004000E-01    1.5330800E+01
     7.4048000E-01    1.5216000E+01
     7.4092000E-01    1.5115700E+01
     7.4136000E-01    1.5017700E+01
     7.4181000E-01    1.4872600E+01
     7.4225000E-01    1.4635700E+01
     7.4269000E-01    1.4463500E+01
     7.4313000E-01    1.4370600E+01
     7.4358000E-01    1.4221100E+01
     7.4402000E-01    1.4060700E+01
     7.4446000E-01    1.3962700E+01
     7.4491000E-01    1.3873500E+01
     7.4535000E-01    1.3799200E+01
     7.4579000E-01    1.3662600E+01
     7.4623000E-01    1.3484100E+01
     7.4668000E-01    1.3333300E+01
     7.4712000E-01    1.3197100E+01
     7.4756000E-01    1.2976000E+01
     7.4800000E-01    1.2786900E+01
     7.4844000E-01    1.2594800E+01
     7.4889000E-01    1.2442200E+01
     7.4933000E-01    1.2306600E+01
     7.4977000E-01    1.2191400E+01
     7.5021000E-01    1.2076000E+01
     7.5066000E-01    1.2053500E+01
     7.5110000E-01    1.1964000E+01
     7.5154000E-01    1.1875600E+01
     7.5198000E-01    1.1756200E+01
     7.5242000E-01    1.1616700E+01
     7.5287000E-01    1.1501000E+01
     7.5331000E-01    1.1378800E+01
     7.5375000E-01    1.1195500E+01
     7.5419000E-01    1.1074000E+01
     7.5463000E-01    1.0976000E+01
     7.5508000E-01    1.0887100E+01
     7.5552000E-01    1.0809100E+01
     7.5596000E-01    1.0663200E+01
     7.5640000E-01    1.0538000E+01
     7.5684000E-01    1.0447900E+01
     7.5729000E-01    1.0322400E+01
     7.5773000E-01    1.0208500E+01
     7.5817000E-01    1.0110000E+01
     7.5861000E-01    9.9760000E+00
     7.5905000E-01    9.8554000E+00
     7.5949000E-01    9.7529000E+00
     7.5994000E-01    9.6142000E+00
     7.6038000E-01    9.5036000E+00
     7.6082000E-01    9.3538000E+00
     7.6126000E-01    9.2613000E+00
     7.6170000E-01    9.1684000E+00
     7.6214000E-01    9.1022000E+00
     7.6259000E-01    9.0162000E+00
     7.6303000E-01    8.9862000E+00
     7.6347000E-01    8.9397000E+00
     7.6391000E-01    8.9073000E+00
     7.6435000E-01    8.8134000E+00
     7.6479000E-01    8.7163000E+00
     7.6523000E-01    8.5997000E+00
     7.6568000E-01    8.4981000E+00
     7.6612000E-01    8.3619000E+00
     7.6656000E-01    8.2293000E+00
     7.6700000E-01    8.0996000E+00
     7.6744000E-01    7.9974000E+00
     7.6788000E-01    7.8795000E+00
     7.6832000E-01    7.8042000E+00
     7.6876000E-01    7.7379000E+00
     7.6921000E-01    7.6440000E+00
     7.6965000E-01    7.5421000E+00
     7.7009000E-01    7.4844000E+00
     7.7053000E-01    7.3661000E+00
     7.7097000E-01    7.3132000E+00
     7.7141000E-01    7.2252000E+00
     7.7185000E-01    7.1504000E+00
     7.7229000E-01    7.0892000E+00
     7.7273000E-01    7.0344000E+00
     7.7317000E-01    6.9366000E+00
     7.7361000E-01    6.8724000E+00
     7.7406000E-01    6.7762000E+00
     7.7450000E-01    6.6752000E+00
     7.7494000E-01    6.5283000E+00
     7.7538000E-01    6.4305000E+00
     7.7582000E-01    6.3406000E+00
     7.7626000E-01    6.2540000E+00
     7.7670000E-01    6.1968000E+00
     7.7714000E-01    6.1752000E+00
     7.7758000E-01    6.1004000E+00
     7.7802000E-01    6.0428000E+00
     7.7846000E-01    5.9613000E+00
     7.7890000E-01    5.8728000E+00
     7.7934000E-01    5.7960000E+00
     7.7978000E-01    5.6920000E+00
     7.8022000E-01    5.5759000E+00
     7.8066000E-01    5.5396000E+00
     7.8110000E-01    5.4876000E+00
     7.8154000E-01    5.4480000E+00
     7.8198000E-01    5.4253000E+00
     7.8242000E-01    5.3739000E+00
     7.8287000E-01    5.3222000E+00
     7.8331000E-01    5.2784000E+00
     7.8375000E-01    5.2026000E+00
     7.8419000E-01    5.1236000E+00
     7.8463000E-01    5.0306000E+00
     7.8507000E-01    4.9325000E+00
     7.8551000E-01    4.8630000E+00
     7.8595000E-01    4.7985000E+00
     7.8639000E-01    4.6910000E+00
     7.8683000E-01    4.6326000E+00
     7.8727000E-01    4.6101000E+00
     7.8771000E-01    4.5473000E+00
     7.8815000E-01    4.5028000E+00
     7.8859000E-01    4.4620000E+00
     7.8903000E-01    4.4309000E+00
     7.8947000E-01    4.4407000E+00
     7.8991000E-01    4.3914000E+00
     7.9034000E-01    4.3491000E+00
     7.9078000E-01    4.3453000E+00
     7.9122000E-01    4.3035000E+00
     7.9166000E-01    4.2288000E+00
     7.9210000E-01    4.1655000E+00
     7.9254000E-01    4.0740000E+00
     7.9298000E-01    4.0382000E+00
     7.9342000E-01    3.9697000E+00
     7.9386000E-01    3.9144000E+00
     7.9430000E-01    3.8717000E+00
     7.9474000E-01    3.8518000E+00
     7.9518000E-01    3.8189000E+00
     7.9562000E-01    3.7883000E+00
     7.9606000E-01    3.7328000E+00
     7.9650000E-01    3.6603000E+00
     7.9694000E-01    3.5866000E+00
     7.9738000E-01    3.5162000E+00
     7.9782000E-01    3.4735000E+00
     7.9826000E-01    3.3996000E+00
     7.9870000E-01    3.3829000E+00
     7.9913000E-01    3.3549000E+00
     7.9957000E-01    3.3328000E+00
     8.0001000E-01    3.2990000E+00
     8.0045000E-01    3.2674000E+00
     8.0089000E-01    3.2325000E+00
     8.0133000E-01    3.1719000E+00
     8.0177000E-01    3.0969000E+00
     8.0221000E-01    3.0372000E+00
     8.0265000E-01    2.9720000E+00
     8.0309000E-01    2.9309000E+00
     8.0353000E-01    2.8884000E+00
     8.0396000E-01    2.8356000E+00
     8.0440000E-01    2.8171000E+00
     8.0484000E-01    2.7838000E+00
     8.0528000E-01    2.7173000E+00
     8.0572000E-01    2.6877000E+00
     8.0616000E-01    2.6445000E+00
     8.0660000E-01    2.6115000E+00
     8.0704000E-01    2.5769000E+00
     8.0747000E-01    2.5283000E+00
     8.0791000E-01    2.4615000E+00
     8.0835000E-01    2.4414000E+00
     8.0879000E-01    2.4142000E+00
     8.0923000E-01    2.3923000E+00
     8.0967000E-01    2.3681000E+00
     8.1011000E-01    2.3244000E+00
     8.1054000E-01    2.2825000E+00
     8.1098000E-01    2.2825000E+00
     8.1142000E-01    2.2510000E+00
     8.1186000E-01    2.2371000E+00
     8.1230000E-01    2.2135000E+00
     8.1274000E-01    2.1507000E+00
     8.1318000E-01    2.0982000E+00
     8.1361000E-01    2.1094000E+00
     8.1405000E-01    2.0878000E+00
     8.1449000E-01    2.0378000E+00
     8.1493000E-01    1.9865000E+00
     8.1537000E-01    1.9526000E+00
     8.1580000E-01    1.9402000E+00
     8.1624000E-01    1.9424000E+00
     8.1668000E-01    1.8933000E+00
     8.1712000E-01    1.8491000E+00
     8.1756000E-01    1.8428000E+00
     8.1799000E-01    1.8481000E+00
     8.1843000E-01    1.8088000E+00
     8.1887000E-01    1.7924000E+00
     8.1931000E-01    1.7651000E+00
     8.1975000E-01    1.7331000E+00
     8.2018000E-01    1.6917000E+00
     8.2062000E-01    1.6743000E+00
     8.2106000E-01    1.6337000E+00
     8.2150000E-01    1.5963000E+00
     8.2194000E-01    1.5772000E+00
     8.2237000E-01    1.5415000E+00
     8.2281000E-01    1.5307000E+00
     8.2325000E-01    1.5380000E+00
     8.2369000E-01    1.5205000E+00
     8.2412000E-01    1.4876000E+00
     8.2456000E-01    1.4963000E+00
     8.2500000E-01    1.4334000E+00
     8.2544000E-01    1.4101000E+00
     8.2587000E-01    1.3834000E+00
     8.2631000E-01    1.3656000E+00
     8.2675000E-01    1.3597000E+00
     8.2719000E-01    1.3440000E+00
     8.2762000E-01    1.3264000E+00
     8.2806000E-01    1.3352000E+00
     8.2850000E-01    1.3196000E+00
     8.2894000E-01    1.2910000E+00
     8.2937000E-01    1.2650000E+00
     8.2981000E-01    1.2470000E+00
     8.3025000E-01    1.2337000E+00
     8.3069000E-01    1.2317000E+00
     8.3112000E-01    1.2286000E+00
     8.3156000E-01    1.2524000E+00
     8.3200000E-01    1.2516000E+00
     8.3243000E-01    1.2268000E+00
     8.3287000E-01    1.2058000E+00
     8.3331000E-01    1.1827000E+00
     8.3375000E-01    1.1170000E+00
     8.3418000E-01    1.1001000E+00
     8.3462000E-01    1.0476000E+00
     8.3506000E-01    1.0753000E+00
     8.3549000E-01    1.0776000E+00
     8.3593000E-01    1.0826000E+00
     8.3637000E-01    1.0993000E+00
     8.3680000E-01    1.1287000E+00
     8.3724000E-01    1.0932000E+00
     8.3768000E-01    1.0830000E+00
     8.3811000E-01    1.0599000E+00
     8.3855000E-01    1.0357000E+00
     8.3899000E-01    9.6440000E-01
     8.3942000E-01    9.3220000E-01
     8.3986000E-01    8.8130000E-01
     8.4030000E-01    8.8270000E-01
     8.4073000E-01    8.7920000E-01
     8.4117000E-01    8.4560000E-01
     8.4161000E-01    8.9060000E-01
     8.4204000E-01    9.2610000E-01
     8.4248000E-01    9.2320000E-01
     8.4292000E-01    9.1630000E-01
     8.4335000E-01    9.0420000E-01
     8.4379000E-01    8.5800000E-01
     8.4423000E-01    8.4570000E-01
     8.4466000E-01    8.1000000E-01
     8.4510000E-01    7.7040000E-01
     8.4553000E-01    7.5360000E-01
     8.4597000E-01    7.6050000E-01
     8.4641000E-01    7.7730000E-01
     8.4684000E-01    7.8380000E-01
     8.4728000E-01    7.6830000E-01
     8.4772000E-01    7.6480000E-01
     8.4815000E-01    7.5390000E-01
     8.4859000E-01    7.3290000E-01
     8.4902000E-01    7.2170000E-01
     8.4946000E-01    7.1330000E-01
     8.4990000E-01    7.0640000E-01
     8.5033000E-01    7.2560000E-01
