;+
;> DESCRIPTION = 'Filter transmission curve for V-Band'
;> WAVE_UNITS  = '[um]'
;> T_UNITS     = '[]'
;-

;~            WAVE                T
     5.7528000E-01    7.4128900E+01
     5.7573000E-01    7.3286100E+01
     5.7618000E-01    7.2779600E+01
     5.7664000E-01    7.3264300E+01
     5.7709000E-01    7.4225300E+01
     5.7754000E-01    7.4465300E+01
     5.7799000E-01    7.3342100E+01
     5.7845000E-01    7.1284200E+01
     5.7890000E-01    6.9773400E+01
     5.7935000E-01    7.0037000E+01
     5.7980000E-01    7.1721000E+01
     5.8025000E-01    7.3561000E+01
     5.8071000E-01    7.4020000E+01
     5.8116000E-01    7.2451000E+01
     5.8161000E-01    6.9539500E+01
     5.8206000E-01    6.7210700E+01
     5.8252000E-01    6.7377000E+01
     5.8297000E-01    7.0037700E+01
     5.8342000E-01    7.3263100E+01
     5.8387000E-01    7.4818800E+01
     5.8432000E-01    7.3361800E+01
     5.8478000E-01    6.9793200E+01
     5.8523000E-01    6.6684900E+01
     5.8568000E-01    6.6199000E+01
     5.8613000E-01    6.8798400E+01
     5.8658000E-01    7.2324800E+01
     5.8703000E-01    7.4766400E+01
     5.8749000E-01    7.4543700E+01
     5.8794000E-01    7.2357800E+01
     5.8839000E-01    6.9687900E+01
     5.8884000E-01    6.8839500E+01
     5.8929000E-01    7.0345500E+01
     5.8974000E-01    7.3371400E+01
     5.9020000E-01    7.6170200E+01
     5.9065000E-01    7.7036600E+01
     5.9110000E-01    7.6175000E+01
     5.9155000E-01    7.4372100E+01
     5.9200000E-01    7.3571400E+01
     5.9245000E-01    7.4511500E+01
     5.9291000E-01    7.6853900E+01
     5.9336000E-01    7.9254200E+01
     5.9381000E-01    8.0530200E+01
     5.9426000E-01    8.0561800E+01
     5.9471000E-01    7.9790400E+01
     5.9516000E-01    7.9080200E+01
     5.9561000E-01    7.8896700E+01
     5.9607000E-01    7.9805700E+01
     5.9652000E-01    8.0968400E+01
     5.9697000E-01    8.1684300E+01
     5.9742000E-01    8.1305100E+01
     5.9787000E-01    7.9793300E+01
     5.9832000E-01    7.7899500E+01
     5.9877000E-01    7.6240900E+01
     5.9922000E-01    7.6176400E+01
     5.9967000E-01    7.6958400E+01
     6.0013000E-01    7.7679200E+01
     6.0058000E-01    7.6508700E+01
     6.0103000E-01    7.3509900E+01
     6.0148000E-01    6.9090800E+01
     6.0193000E-01    6.4785400E+01
     6.0238000E-01    6.2221900E+01
     6.0283000E-01    6.2028100E+01
     6.0328000E-01    6.3167800E+01
     6.0373000E-01    6.3196100E+01
     6.0418000E-01    6.0198500E+01
     6.0463000E-01    5.4337900E+01
     6.0509000E-01    4.7779100E+01
     6.0554000E-01    4.3164400E+01
     6.0599000E-01    4.2071900E+01
     6.0644000E-01    4.3554000E+01
     6.0689000E-01    4.5116100E+01
     6.0734000E-01    4.4165000E+01
     6.0779000E-01    3.9985900E+01
     6.0824000E-01    3.3793300E+01
     6.0869000E-01    2.7980400E+01
     6.0914000E-01    2.4689400E+01
     6.0959000E-01    2.4675800E+01
     6.1004000E-01    2.6649200E+01
     6.1049000E-01    2.8098600E+01
     6.1094000E-01    2.7283300E+01
     6.1139000E-01    2.4060300E+01
     6.1184000E-01    1.9641600E+01
     6.1229000E-01    1.5845300E+01
     6.1275000E-01    1.3935200E+01
     6.1320000E-01    1.4161200E+01
     6.1365000E-01    1.5492000E+01
     6.1410000E-01    1.6512000E+01
     6.1455000E-01    1.6194000E+01
     6.1500000E-01    1.4363200E+01
     6.1545000E-01    1.1711800E+01
     6.1590000E-01    9.3558000E+00
     6.1635000E-01    8.0492000E+00
     6.1680000E-01    7.9322000E+00
     6.1725000E-01    8.5479000E+00
     6.1770000E-01    9.1978000E+00
     6.1815000E-01    9.2718000E+00
     6.1860000E-01    8.5952000E+00
     6.1905000E-01    7.3561000E+00
     6.1950000E-01    6.0859000E+00
     6.1995000E-01    5.1821000E+00
     6.2040000E-01    4.8646000E+00
     6.2085000E-01    4.9804000E+00
     6.2130000E-01    5.2344000E+00
     6.2175000E-01    5.3573000E+00
     6.2220000E-01    5.1770000E+00
     6.2265000E-01    4.7311000E+00
     6.2310000E-01    4.1295000E+00
     6.2355000E-01    3.5780000E+00
     6.2400000E-01    3.2126000E+00
     6.2445000E-01    3.0481000E+00
     6.2489000E-01    3.0226000E+00
     6.2534000E-01    3.0528000E+00
     6.2579000E-01    3.0526000E+00
     6.2624000E-01    2.9896000E+00
     6.2669000E-01    2.8249000E+00
     6.2714000E-01    2.5887000E+00
     6.2759000E-01    2.3001000E+00
     6.2804000E-01    2.0462000E+00
     6.2849000E-01    1.8683000E+00
     6.2894000E-01    1.7903000E+00
     6.2939000E-01    1.8107000E+00
     6.2984000E-01    1.8670000E+00
     6.3029000E-01    1.9205000E+00
     6.3074000E-01    1.8811000E+00
     6.3119000E-01    1.7785000E+00
     6.3164000E-01    1.6087000E+00
     6.3209000E-01    1.4081000E+00
     6.3254000E-01    1.2172000E+00
     6.3298000E-01    1.0927000E+00
     6.3343000E-01    1.1036000E+00
     6.3388000E-01    1.1872000E+00
     6.3433000E-01    1.2786000E+00
     6.3478000E-01    1.3197000E+00
     6.3523000E-01    1.2683000E+00
     6.3568000E-01    1.1295000E+00
     6.3613000E-01    9.2640000E-01
     6.3658000E-01    7.8640000E-01
     6.3703000E-01    7.2450000E-01
     6.3747000E-01    7.5350000E-01
     6.3792000E-01    8.1270000E-01
     6.3837000E-01    9.0530000E-01
     6.3882000E-01    9.5710000E-01
     6.3927000E-01    9.2830000E-01
     6.3972000E-01    8.2740000E-01
     6.4017000E-01    6.8890000E-01
